STELIB,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,fits
714079652021800320,714079652021800320,  5.7533727,  6.1893988,  5.1399436,  1.0494552,NOT_AVAILABLE,      0,true, 36, 33,  1,OK,HD79452_moy.fits
810952158347151488,810952158347151488,  6.0485497,  6.1132765,  5.3827682,  0.7305083,NOT_AVAILABLE,      0,false, 14, 15,  0,OK,HD80081_moy.fits
634289879899622784,634289879899622784,  6.2574267,  6.7538061,  5.5908599,  1.1629462,NOT_AVAILABLE,      0,true, 39, 35,  1,OK,HD81192_moy.fits
5745464991235898752,5745464991235898752,  5.1625314,  5.5370994,  4.6878138,  0.8492856,NOT_AVAILABLE,      0,true, 35, 32,  0,DMS,HD81809_moy.fits
1071133340038904320,1071133340038904320,  4.3226461,  4.7439733,  3.7549458,  0.9890275,NOT_AVAILABLE,      0,true, 39, 38,  0,SAT,HD82210_moy.fits
646645946761688704,646645946761688704,  7.5878162,  8.3202734,  6.7545395,  1.5657339,NOT_AVAILABLE,      0,true, 47, 44,  0,OK,HD83632_moy.fits
615943806835727872,615943806835727872,  8.2067213,  8.4229174,  7.8167276,  0.6061897,NOT_AVAILABLE,      0,true, 26, 26,  0,ChP,HD84937_moy.fits
1020761860511681024,1020761860511681024,  5.1777754,  4.5654497,  4.4801517,  0.0852981,NOT_AVAILABLE,      0,true, 44, 42,  0,SAT,HD85235_moy.fits
5259375577836135168,5259375577836135168,  8.0646753,  8.3076468,  7.5975437,  0.7101030,NOT_AVAILABLE,      0,true, 61, 57,  0,ELS,HD086161_moy.fits
746545172372256384,746545172372256384,  5.2049575,  5.5444608,  4.7039132,  0.8405476,NOT_AVAILABLE,      0,true, 39, 38,  0,OK,HD86728_moy.fits
615540938902909440,615540938902909440,  7.9642005,  8.0295506,  7.8065462,  0.2230043,NOT_AVAILABLE,      0,true, 30, 29,  0,OK,HD86986_moy.fits
852411202776521856,852411202776521856,  5.5877814,  5.8388114,  5.1768093,  0.6620021,NOT_AVAILABLE,      0,true, 47, 43,  0,OK,HD87141_moy.fits
622052899598187392,622052899598187392,  3.4907143,  3.5431592,  3.4167209,  0.1264384,NOT_AVAILABLE,      0,true, 20, 21,  0,SAT,HD87737_moy.fits
747570290871415680,747570290871415680,  4.4239016,  4.5282407,  4.2562356,  0.2720051,NOT_AVAILABLE,      0,true, 39, 35,  0,SAT/VAR,HD87696_moy.fits
745776957342208512,745776957342208512,  6.4330225,  6.3467231,  5.7640638,  0.5826592,NOT_AVAILABLE,      0,true, 50, 45,  0,DMS,HD87822_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
3881744167420534528,3881744167420534528,  6.3357620,  6.5444489,  5.9196577,  0.6247911,NOT_AVAILABLE,      0,true, 38, 34,  0,DMS,HD88355_moy.fits
851658896305185024,851658896305185024,  8.2698507,  8.8148499,  7.5582795,  1.2565703,NOT_AVAILABLE,      0,true, 50, 45,  0,ChP,HD88609_moy.fits
725422076533653504,725422076533653504,  3.3467774,  3.6844702,  3.0511892,  0.6332810,NOT_AVAILABLE,      0,false, 15, 15,  0,SAT,HD89025_moy.fits
3769395863135984512,3769395863135984512,  5.1687250,  5.3281360,  4.8850508,  0.4430852,NOT_AVAILABLE,      0,false, 12, 11,  0,OK,HD89254_moy.fits
804753180515722624,804753180515722624,  2.3245101,  3.6615462,  2.0164533,  1.6450930,NOT_AVAILABLE,      0,true, 34, 33,  0,SAT,HD89758_moy.fits
749214855324239232,749214855324239232,  4.6493287,  4.7927356,  4.4078598,  0.3848758,NOT_AVAILABLE,      0,true, 30, 28,  0,ChP,HD90277_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
853819947756949120,853819947756949120,  4.6738920,  4.9525595,  4.2518225,  0.7007370,NOT_AVAILABLE,      0,true, 43, 39,  0,OK,HD90839_moy.fits
3870025847369674624,3870025847369674624,  3.8256657,  3.7442591,  3.9245017, -0.1802425,NOT_AVAILABLE,      0,false, 14, 14,  0,SAT/BS,HD91316_moy.fits
5350370026290390912,5350370026290390912,  6.2570052,  6.3452535,  6.0124536,  0.3327999,VARIABLE,      0,true, 35, 35,  0,ELS,HD092740_moy.fits
5350703315744983808,5350703315744983808,  8.8781147,  9.0706015,  8.5179634,  0.5526381,NOT_AVAILABLE,      0,true, 45, 44,  0,ELS,HD092809_moy.fits
724786936769969664,724786936769969664,  5.4746709,  5.5607896,  5.3071518,  0.2536378,NOT_AVAILABLE,      0,false, 20, 19,  0,OK,HD92769_moy.fits
5350383460949215232,5350383460949215232,  7.2764897,  7.3775487,  7.0214057,  0.3561430,NOT_AVAILABLE,      0,true, 48, 44,  0,OK,HD093250_moy.fits
3982541238766301440,3982541238766301440,  8.8432684,  9.1311092,  8.3804646,  0.7506447,NOT_AVAILABLE,      0,true, 22, 23,  0,OK,HD93430_moy.fits
731365898954907392,731365898954907392,  5.9529467,  6.1486182,  5.6020756,  0.5465426,NOT_AVAILABLE,      0,true, 19, 17,  0,BIN,HD93765_moy.fits
3988038079645800960,3988038079645800960,  8.0763521,  8.3327513,  7.6416845,  0.6910667,NOT_AVAILABLE,      0,false, 18, 16,  0,OK,HD94028_moy.fits
738259665062428416,738259665062428416,  3.4941249,  4.1166801,  2.8171751,  1.2995050,NOT_AVAILABLE,      0,true, 22, 21,  0,SAT,HD94264_moy.fits
849917888362404224,849917888362404224,  4.6790328,  5.3776231,  3.8771782,  1.5004449,NOT_AVAILABLE,      0,true, 54, 55,  0,OK,HD94247_moy.fits
3814913686020080384,3814913686020080384,  4.5016232,  5.0943451,  3.7789836,  1.3153615,NOT_AVAILABLE,      0,false, 17, 16,  0,DMS,HD95345_moy.fits
856096765753549056,856096765753549056,  2.3985364,  3.0090785,  2.5155010,  0.4935775,NOT_AVAILABLE,      0,false, 19, 18,  0,SAT,HD95418_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
3970052886914547712,3970052886914547712,  3.3396249,  3.4416852,  3.2700076,  0.1716776,NOT_AVAILABLE,      0,false, 11, 11,  0,SAT,HD97633_moy.fits
3810585355419001600,3810585355419001600,  9.0868778,  9.3060036,  8.7053614,  0.6006422,NOT_AVAILABLE,      2,false, 27, 27,  0,BIN,HD97916_moy.fits
757565233820538752,757565233820538752,  3.0204449,  3.9460771,  2.3562465,  1.5898306,NOT_AVAILABLE,      0,false, 15, 13,  0,SAT,HD98262_moy.fits
783826381854457088,783826381854457088,  4.7259302,  5.2178998,  4.0897384,  1.1281614,NOT_AVAILABLE,      0,true, 23, 22,  0,BIN,HD98839_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
