SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj,flaggap
HD_186486,2021725326270306560,  5.2532120,  5.7205806,  4.6317549,  1.0888257,NOT_AVAILABLE,      1,True, 56, 51,186486.fits.csv,OK,  0,     0.96,     0.05,     0.03,     6.87,     6.73,     0.72,     0.70 , 0
HD_186619,2077085633633144832,  5.1750674,  6.1155190,  4.2102661,  1.9052529,NOT_AVAILABLE,      0,True, 27, 25,186619.fits.csv,VAR,  0,     1.01,     0.05,     0.05,     4.22,     4.22,     0.96,     0.86 , 0
HD_186675,2048824680109512320,  4.6336026,  5.1078701,  4.0087371,  1.0991330,NOT_AVAILABLE,      0,True, 33, 32,186675.fits.csv,OK,  1,     0.97,     0.05,     0.04,     4.52,     4.34,     0.78,     0.68 , 0
HD_187013,2035035223783462400,  4.8739729,  5.1236768,  4.4815640,  0.6421127,NOT_AVAILABLE,      0,True, 37, 33,187013.fits.csv,OK,  0,     0.88,     0.11,     0.07,     8.15,     5.50,     2.40,     1.77 , 0
HD_187111,4189688954569244032,  7.2790952,  7.9810624,  6.4596152,  1.5214472,NOT_AVAILABLE,      0,True, 36, 34,187111.fits.csv,ChP,  0,     1.99,     0.40,     0.30,    31.83,    10.84,    12.83,     5.25 , 0
HD_187428,1824788190874279680,  7.7173977,  8.1118660,  7.1437836,  0.9680824,NOT_AVAILABLE,      0,True, 44, 42,187428.fits.csv,OK,  0,  2430.14,     0.31,     0.39,    66.05,    65.32,     5.47,    85.33 , 1
HD_187459,2034968875123889536,  6.3897467,  6.4768744,  6.2072511,  0.2696233,NOT_AVAILABLE,      0,True, 42, 41,187459.fits.csv,BIN,  0,     2.00,     0.28,     0.51,    28.96,    14.07,    19.82,     5.34 , 0
HD_18768,434311667115069952,  6.5754428,  6.8734970,  6.0985832,  0.7749138,NOT_AVAILABLE,      0,True, 26, 23,18768.fits.csv,OK,  1,     1.07,     0.05,     0.05,     4.00,     3.74,     2.13,     1.15 , 0
HD_187691,4303294039306246656,  4.9761753,  5.2625175,  4.5454221,  0.7170954,NOT_AVAILABLE,      0,True, 37, 33,187691.fits.csv,OK,  0,     0.97,     0.05,     0.04,    11.87,    11.75,    15.69,     1.57 , 0
HD_18778,568421574254377728,  5.8977590,  5.9632344,  5.7590256,  0.2042089,NOT_AVAILABLE,      0,True, 35, 32,18778.fits.csv,BIN,  0,     0.89,     0.10,     0.09,     8.23,     4.93,     3.07,     2.34 , 0
HD_187796,2034702312280673792,  6.1973281, 11.4754295,  4.0923262,  7.3831034,VARIABLE,      0,True, 27, 32,187796.fits.csv,OK,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_187811,1827977186901985024,  4.8875833,  4.8100796,  5.0314736, -0.2213941,NOT_AVAILABLE,      0,True, 59, 54,187811.fits.csv,Be,  0,     1.02,     0.03,     0.03,     6.34,     6.30,     1.47,     2.17 , 0
HD_187961,4303300258419825664,  6.4943228,  6.4812307,  6.4658737,  0.0153570,NOT_AVAILABLE,      0,True, 36, 31,187961.fits.csv,Be,  0,  1105.02,     0.16,     0.20,    35.26,    34.74,     6.17,    46.20 , 1
HD_187983,2026641620708032640,  5.3072109,  5.7494221,  4.6828203,  1.0666018,VARIABLE,      0,True, 72, 69,187983.fits.csv,VAR,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_188001,1821596755283891840,  6.1823258,  6.1718726,  6.1338778,  0.0379949,NOT_AVAILABLE,      0,True, 46, 42,188001.fits.csv,BS,  0,     1.87,     0.23,     0.49,    31.97,    17.15,    24.23,     6.00 , 0
HD_188209,2086308474601847168,  5.5857744,  5.5313597,  5.6350589, -0.1036992,NOT_AVAILABLE,      0,True, 31, 29,188209.fits.csv,BS,  0,     1.57,     0.17,     0.34,    23.58,    10.30,    13.62,     5.04 , 0
HD_188260,1828386961117254272,  4.6295881,  4.5701876,  4.6010079, -0.0308204,NOT_AVAILABLE,      0,True, 63, 61,188260.fits.csv,VAR,  0,     1.03,     0.04,     0.04,     2.26,     2.39,     2.69,     1.36 , 0
HD_188310,4298361114753012992,  4.4119096,  4.9441638,  3.7298181,  1.2143457,NOT_AVAILABLE,      0,True, 38, 38,188310.fits.csv,DMS,  0,     1.14,     0.09,     0.06,     6.49,     5.72,     1.60,     0.73 , 0
HD_188485,1834396891668192256,  5.5272679,  5.5351753,  5.5463281, -0.0111527,NOT_AVAILABLE,      0,True, 74, 64,188485.fits.csv,DMS,  0,     0.94,     0.07,     0.05,     8.29,     5.86,     2.84,     1.64 , 0
HD_188728,4303843863840722944,  5.2722955,  5.2711210,  5.2529292,  0.0181918,NOT_AVAILABLE,      0,True, 36, 30,188728.fits.csv,BIN,  0,     1.02,     0.06,     0.06,     7.40,     7.41,     9.41,     1.52 , 0
HD_188947,2059372363884259072,  3.6234016,  4.1796846,  2.9626186,  1.2170660,NOT_AVAILABLE,      0,True, 45, 44,188947.fits.csv,SAT,  0,     1.04,     0.06,     0.06,     7.04,     7.04,     6.80,     0.72 , 0
HD_189319,1823067317695766784,  2.8593628,  3.9475429,  2.2505422,  1.6970007,NOT_AVAILABLE,      0,True, 37, 36,189319.fits.csv,SAT,  0,     0.67,     0.42,     0.18,     5.79,     3.34,     2.60,     3.03 , 0
HD_189558,4189078626829509248,  7.5690942,  7.8710494,  7.0821438,  0.7889056,NOT_AVAILABLE,      0,True, 42, 38,189558.fits.csv,OK,  0,  1944.72,     0.19,     0.19,    43.85,    43.86,     2.12,    58.91 , 1
HD_189944,1834299138218945664,  5.8602605,  5.7839317,  5.9677672, -0.1838355,NOT_AVAILABLE,      0,True, 46, 38,189944.fits.csv,OK,  0,   847.65,     0.10,     0.10,    75.62,    75.59,     1.43,   101.05 , 1
HD_190004,1834348684966184448,  5.8811569,  5.3300304,  4.8191485,  0.5108819,NOT_AVAILABLE,      0,True, 50, 45,190004.fits.csv,DMS,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_190172,4192830607181266560,  6.6127701,  6.7812877,  6.2998638,  0.4814239,NOT_AVAILABLE,      0,True, 39, 36,190172.fits.csv,OK,  0,  1333.78,     0.22,     0.19,    51.49,    51.12,     2.43,    68.14 , 1
HD_190390,4190636669164572928,  6.2052717,  6.5387859,  5.6890826,  0.8497033,NOT_AVAILABLE,      0,True, 39, 38,190390.fits.csv,PAGB,  0,  4632.81,     0.36,  4269.68,    33.90,    71.35,    77.03,    73.14 , 1
HD_190608,1823437097192796544,  4.7880774,  5.3269639,  4.1012783,  1.2256856,NOT_AVAILABLE,      0,True, 35, 31,190608.fits.csv,OK,  0,     0.87,     0.12,     0.07,     5.88,     4.84,     1.56,     1.20 , 0
HD_190993,1833224949722816768,  5.0570240,  4.9511480,  5.1995454, -0.2483974,NOT_AVAILABLE,      0,True, 46, 36,190993.fits.csv,OK,  0,   828.65,     0.09,     0.10,    62.16,    62.16,     1.53,    82.77 , 1
HD_191026,2059103120983068160,  5.1409140,  5.5820751,  4.5365696,  1.0455055,NOT_AVAILABLE,      0,True, 43, 38,191026.fits.csv,VAR,  0,     0.85,     0.14,     0.07,     7.75,     6.28,     1.68,     1.44 , 0
HD_191046,2059126485606511872,  6.6669559,  7.2612600,  5.9265804,  1.3346796,NOT_AVAILABLE,      2,True, 42, 39,191046.fits.csv,OK,  0,  3347.20,     0.35,     0.32,    58.23,    57.97,     2.86,    77.14 , 1
HD_191243,2058352669922023424,  6.0862989,  6.1614914,  5.8975859,  0.2639055,NOT_AVAILABLE,      0,True, 39, 38,191243.fits.csv,BS,  0,     1.40,     0.15,     0.22,    20.84,    11.03,    14.97,     3.36 , 0
HD_191277,2237963804179250176,  5.0510778,  5.6541367,  4.3126745,  1.3414621,NOT_AVAILABLE,      0,True, 46, 45,191277.fits.csv,OK,  0,     0.97,     0.06,     0.05,    11.13,    11.09,    11.94,     0.64 , 0
HD_191610,2059262344012317312,  4.9114370,  4.8418689,  4.9980087, -0.1561399,NOT_AVAILABLE,      0,True, 32, 32,191610.fits.csv,Be,  0,   884.29,     0.10,     0.14,    35.59,    35.55,     3.97,    47.18 , 1
HD_191615,1834065869953448448,  7.5190225,  8.0286808,  6.8473954,  1.1812854,NOT_AVAILABLE,      0,True, 51, 51,191615.fits.csv,OK,  0,     1.26,     0.16,     0.09,     8.22,     4.97,     2.31,     1.24 , 0
HD_1918,391814065232340864,  7.3444819,  7.8409777,  6.6809516,  1.1600261,NOT_AVAILABLE,      0,True, 61, 60,1918.fits.csv,OK,  0,    79.41,     0.05,     0.05,    11.17,    11.10,     1.35,    14.52 , 0
HD_192276,2084342650891741056,  6.8962283,  6.8274231,  6.9936996, -0.1662765,VARIABLE,      0,True, 40, 35,192276.fits.csv,BIN,  0,   813.92,     0.13,     0.12,    34.26,    34.04,     2.36,    44.86 , 1
HD_192425,1808282768947879808,  4.9236689,  4.9587493,  4.8648872,  0.0938621,NOT_AVAILABLE,      0,True, 32, 28,192425.fits.csv,OK,  0,  1031.05,     0.12,     0.13,    68.35,    68.36,     2.45,    91.18 , 1
HD_192685,1835335977682835200,  4.7666535,  4.6534615,  4.8878264, -0.2343650,VARIABLE,      0,True, 48, 46,192685.fits.csv,DMS,  0,   842.47,     0.09,     0.09,    43.07,    43.07,     1.27,    61.40 , 1
