counter,NAME,source_id,RA,DEC,flagbest,flagSIMBAD,library,primary,sepa
2589,HD040657,3024622798567336064,90.013958,-3.07425,9,OK,+MILES,0,45.0446476672535
2590,HD041312,2911168969701511424,90.815,-26.284556,9,DMS,+MILES,0,21.888449105242454
2595,HD044889,3006195361643857024,95.995042,-9.068778,9,OK,+MILES,0,38.822486767608616
2597,HD046341,3103079172323686400,98.158292,-6.488472,9,OK,+MILES,0,41.469719646687345
2602,HD050778,2952868119987647744,103.5475,-12.038639,9,SAT,+MILES,0,36.5050478164291
2604,HD055496,2927925629997822336,108.047417,-22.9835,9,ChP,+MILES,0,26.896281752319005
2605,HD056274,3033005406506033664,108.961625,-13.049472,9,OK,+MILES,0,36.64768539592264
2606,HD056577,5618016960638976896,109.153458,-23.315583,9,RSG,+MILES,0,26.930436798265532
2607,HD057060,5617678822143017088,109.66825,-24.558694,9,BIN,+MILES,0,25.946810195661747
2608,HD057061,5616537017987940736,109.677042,-24.954361,9,SAT/BIN,+MILES,0,25.584316153976047
2610,HD060219,5619192029327633664,113.152708,-21.930417,9,VAR,+MILES,0,29.63338161634113
2611,LHS1930,3041081800446305152,113.720667,-10.386139,9,OK,+MILES,0,40.57230908453296
2613,HD061606,3057712223051571200,114.997208,-3.5975,9,VAR,+MILES,0,47.413607256350424
2614,HD061772,3029166186781118336,115.096708,-15.263917,9,OK,+MILES,0,36.48219578298428
2618,BD-182065,5717432740431700480,118.158375,-18.593806,9,DMS,+MILES,0,34.688497147584144
2619,HD064332,3037131942360132480,118.271958,-11.624833,9,S,+MILES,0,41.03784228612763
2631,HD073898,5642296582557070080,129.926958,-29.561083,9,OK,+MILES,0,32.21832614400979
2636,HD075691,5642935536248627456,132.633,-27.709833,9,SAT,+MILES,0,35.20802163472495
2640,HD077338,5649661592466640000,135.302042,-25.527056,9,Planet,+MILES,0,38.43672840738474
2642,HD078541,5650133695272371968,137.012,-25.858528,9,OK,+MILES,0,39.27691755007026
