MILES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioT,chiT,rchi2
2477891500647336704,2477891500647336704,  5.6012158,  5.9158878,  5.1116991,  0.8041887,NOT_AVAILABLE,      0,True, 36, 34,s0061.csv,OK,  0,   1.01,   0.03,   1.35
509342237530006016,509342237530006016,  4.4079986,  4.9154105,  3.7427876,  1.1726229,NOT_AVAILABLE,      0,True,104, 99,s0062.csv,OK,  0,   0.99,   0.04,   1.25
348020482735930112,348020482735930112,  3.9661331,  4.2386155,  3.5156913,  0.7229242,NOT_AVAILABLE,      0,True, 26, 28,s0063.csv,SAT/Planet,  0,   1.00,   0.03,   1.59
2562091860584132096,2562091860584132096,  3.9701409,  4.7015080,  3.1475546,  1.5539534,NOT_AVAILABLE,      0,True, 24, 24,s0065.csv,OK,  0,   1.02,   0.06,   1.96
348515297330773120,348515297330773120,  4.8004379,  5.1120868,  4.3069367,  0.8051500,NOT_AVAILABLE,      0,True, 28, 27,s0066.csv,BIN,  0,   1.01,   0.03,   1.38
2452378776434477184,2452378776434477184,  3.3003998,  3.7995205,  2.7482994,  1.0512211,NOT_AVAILABLE,      0,True, 54, 53,s0067.csv,SAT,  0,   1.04,   0.13,   5.45
558748070956581248,558748070956581248,  9.8100138, 10.0451641,  9.4008484,  0.6443157,NOT_AVAILABLE,      0,True, 48, 47,s0068.csv,OK,  0,   1.02,   0.08,  10.03
512167948043650816,512167948043650816,  5.4103966,  5.8130040,  4.8419757,  0.9710283,NOT_AVAILABLE,      0,True, 59, 57,s0069.csv,VAR,  0,   1.01,   0.04,   2.21
2574158313504213504,2574158313504213504,  5.8479433,  6.0024295,  5.5617843,  0.4406452,NOT_AVAILABLE,      0,True, 19, 18,s0071.csv,OK,  1,   0.99,   0.04,   2.09
5142632388116286336,5142632388116286336,  8.7790403,  9.1191826,  8.2645674,  0.8546152,NOT_AVAILABLE,      0,True, 69, 65,s0072.csv,OK,  0,   1.02,   0.05,   4.96
2462426800883134336,2462426800883134336,  6.2218833,  6.6247096,  5.6441274,  0.9805822,NOT_AVAILABLE,      0,True, 36, 32,s0073.csv,Planet,  0,   1.01,   0.04,   1.88
507785054178237824,507785054178237824,  6.9699130,  8.0245037,  5.9632940,  2.0612097,VARIABLE,      0,True, 52, 51,s0074.csv,RSG,  0,   1.07,   0.44,   9.38
5020586872310485632,5020586872310485632,  5.0950599,  5.5599909,  4.4721527,  1.0878382,NOT_AVAILABLE,      0,True, 44, 39,s0075.csv,OK,  1,   1.00,   0.04,   2.08
300268314784686464,300268314784686464,  8.6111908,  8.9137564,  8.1281261,  0.7856302,NOT_AVAILABLE,      0,True, 24, 24,s0077.csv,OK,  1,   1.00,   0.02,   1.58
506664136434780288,506664136434780288,  6.2792935,  6.4559774,  5.9302101,  0.5257673,VARIABLE,      0,True, 44, 43,s0078.csv,BS,  0,   1.02,   0.25,  14.54
2494759795723713408,2494759795723713408,  8.9243689,  9.2268686,  8.4439373,  0.7829313,NOT_AVAILABLE,      0,True, 24, 25,s0081.csv,OK,  1,   1.01,   0.03,   1.42
515428206180256768,515428206180256768,  8.1298075,  8.4717875,  7.6096392,  0.8621483,NOT_AVAILABLE,      0,True, 67, 66,s0082.csv,OK,  0,   1.01,   0.03,   2.24
355306911935301504,355306911935301504,  6.3048868,  6.5248723,  5.9237900,  0.6010823,NOT_AVAILABLE,      0,True, 27, 26,s0083.csv,OK,  1,   1.00,   0.03,   1.30
5119953517683718400,5119953517683718400,  5.0178437,  5.3485856,  4.5391221,  0.8094635,NOT_AVAILABLE,      0,True, 32, 28,s0084.csv,OK,  1,   1.01,   0.03,   1.48
5175027848960618240,5175027848960618240, 10.2751331, 10.2941828, 10.2108936,  0.0832891,NOT_AVAILABLE,      0,True, 43, 44,s0085.csv,OK,  1,   1.00,   0.04,   3.01
2490426551679224064,2490426551679224064,  7.0674901,  7.3252449,  6.6411028,  0.6841421,NOT_AVAILABLE,      2,True, 24, 23,s0086.csv,BIN,  0,   1.01,   0.03,   1.50
82712106524911104,82712106524911104,  5.9593201,  6.4412389,  5.3002200,  1.1410189,NOT_AVAILABLE,      0,True, 20, 18,s0087.csv,BIN,  0,   1.01,   0.09,   4.57
5145955421492456960,5145955421492456960,  4.5949807,  4.8533463,  4.2159724,  0.6373739,NOT_AVAILABLE,      0,True, 23, 24,s0088.csv,DMS,  0,   0.98,   0.04,   1.52
5171417602530766976,5171417602530766976,  9.6433973,  9.8832197,  9.2328825,  0.6503372,NOT_AVAILABLE,      0,True, 45, 44,s0089.csv,Planet,  0,   1.02,   0.03,   2.66
102082477749475200,102082477749475200,  6.9793406,  7.2244821,  6.5536661,  0.6708159,NOT_AVAILABLE,      0,True, 21, 20,s0091.csv,Planet,  0,   1.02,   0.03,   2.17
5065735499806985856,5065735499806985856,  7.8670945,  8.1616554,  7.3942094,  0.7674460,NOT_AVAILABLE,      3,True, 57, 54,s0093.csv,BIN,  0,   1.00,   0.03,   1.41
438032929859059072,438032929859059072,  9.0113926,  9.2923517,  8.5555153,  0.7368364,NOT_AVAILABLE,      1,True, 26, 26,s0094.csv,BIN,  0,   1.00,   0.02,   1.70
340647020322856192,340647020322856192,  5.1839004,  5.6495008,  4.5608878,  1.0886130,NOT_AVAILABLE,      0,True, 32, 32,s0096.csv,OK,  1,   1.01,   0.06,   3.06
5158225936898617344,5158225936898617344,  4.2053418,  4.1547265,  4.2951155, -0.1403890,NOT_AVAILABLE,      0,True, 38, 35,s0097.csv,BIN,  0,   1.00,   0.04,   2.49
114832620743735808,114832620743735808,  7.3799114,  7.7947078,  6.7911348,  1.0035729,VARIABLE,      1,True, 24, 24,s0100.csv,VAR,  0,   1.00,   0.04,   1.27
2497365913159433344,2497365913159433344,  8.0162573,  8.2859354,  7.5744600,  0.7114754,NOT_AVAILABLE,      0,True, 24, 23,s0101.csv,OK,  1,   1.00,   0.02,   1.21
460787426079902208,460787426079902208,  5.8858800,  6.4374189,  5.1345081,  1.3029108,NOT_AVAILABLE,      0,True, 32, 31,s0102.csv,ESG,  0,   1.18,   0.42,  35.40
461063747095295744,461063747095295744,  5.9605613,  7.1525269,  4.8767247,  2.2758021,NOT_AVAILABLE,      0,True, 32, 31,s0104.csv,ESG,  0,   1.02,   0.13,   4.06
5071514326764428544,5071514326764428544,  5.6436329,  6.0739274,  5.0385561,  1.0353713,NOT_AVAILABLE,      0,True, 58, 51,s0105.csv,OK,  1,   1.00,   0.04,   3.03
15489408711727488,15489408711727488,  9.5113716,  9.7792273,  9.0039806,  0.7752466,VARIABLE,      0,True, 24, 23,s0107.csv,VAR,  0,   1.09,   0.11,   1.23
436648129327098496,436648129327098496,  3.9026392,  4.2089152,  3.4268501,  0.7820652,NOT_AVAILABLE,      0,True, 39, 40,s0108.csv,SAT,  0,   1.00,   0.04,   1.98
448103803535751680,448103803535751680,  5.5315356,  5.9720659,  4.8896327,  1.0824332,VARIABLE,      0,True, 30, 27,s0110.csv,OK,  0,   1.21,   0.40,  36.94
30321099016072320,30321099016072320,  7.2216768,  7.6201558,  6.6464877,  0.9736681,NOT_AVAILABLE,      2,True, 23, 24,s0111.csv,BIN,  0,   1.01,   0.03,   1.24
3261878613062758144,3261878613062758144,  6.8885603,  7.2105436,  6.3911366,  0.8194070,NOT_AVAILABLE,      0,True, 19, 20,s0112.csv,OK,  1,   1.00,   0.03,   1.22
241393040535105280,241393040535105280,  8.6581287,  9.1799011,  7.9794297,  1.2004714,NOT_AVAILABLE,      0,True, 51, 48,s0115.csv,OK,  0,   0.98,   0.04,   1.38
