UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
HD109026,5842864786417716608,  3.8161688,  3.7431409,  3.9231374, -0.1799965,NOT_AVAILABLE,      0,true, 25, 22,HD109026.fits.csv,SAT,  0,   1.14,   0.06,   0.08,   9.70,   6.04,   5.30,   6.54
HD109379,3501215734352781440,  2.4482830,  3.3300257,  2.2373757,  1.0926499,NOT_AVAILABLE,      0,true, 24, 24,HD109379.fits.csv,SAT,  0,   0.74,   0.46,   0.22,   8.87,   2.70,   3.34,   2.12
HD109867,5856874901058844160,  6.2086902,  6.2225661,  6.1218133,  0.1007528,VARIABLE,      0,true, 41, 39,HD109867.fits.csv,BS,  0,   1.02,   0.04,   0.04,   4.20,   4.77,   6.94,   2.01
HD109931,3516934936698212352,  5.9274383,  6.0773683,  5.6476035,  0.4297647,NOT_AVAILABLE,      0,true, 41, 40,HD109931.fits.csv,OK,  1,   0.99,   0.03,   0.03,   3.27,   3.22,   3.71,   2.84
HD110385,3515784744456187520,  5.9310455,  6.1245441,  5.5916409,  0.5329032,NOT_AVAILABLE,      0,true, 49, 39,HD110385.fits.csv,OK,  0,   1.03,   0.04,   0.03,   7.14,   4.38,   4.82,   4.05
HD110458,6127817277882986496,  4.3601103,  4.9001670,  3.6782575,  1.2219095,NOT_AVAILABLE,      0,true, 44, 43,HD110458.fits.csv,OK,  0,   1.00,   0.04,   0.04,   5.71,   5.73,   6.91,   4.72
HD111786,3495820568233709952,  6.0887022,  6.2048426,  5.8447738,  0.3600688,NOT_AVAILABLE,      0,true, 21, 20,HD111786.fits.csv,VAR,  0,   1.01,   0.03,   0.03,   2.92,   3.03,   3.61,   2.56
HD112272,5861887402770403328,  7.0281539,  7.5017233,  6.3517118,  1.1500115,VARIABLE,      0,true, 49, 49,HD112272.fits.csv,BS,  0,   0.93,   0.07,   0.04,   7.78,   4.45,   6.55,   1.69
HD112409,6081364732673284864,  5.1372023,  5.1035824,  5.1930833, -0.0895009,NOT_AVAILABLE,      0,true, 38, 35,HD112409.fits.csv,VAR,  0,   0.58,   0.75,   0.04,  96.08,   4.95,   5.47,   4.54
HD112842,6055990993633719040,  6.9839807,  7.0982637,  6.7208638,  0.3773999,NOT_AVAILABLE,      0,true, 57, 55,HD112842.fits.csv,OK,  0,   0.98,   0.04,   0.03,   3.64,   3.81,   4.04,   3.47
HD113904,5858915766471945984,  5.5893230,  5.5730677,  5.5575233,  0.0155444,NOT_AVAILABLE,      0,true, 33, 30,HD113904.fits.csv,WR,  0,   6.21,   0.84,   0.09,  77.73,   4.91,   5.19,   4.73
HD114365,6080068545902295040,  6.0275850,  5.9773445,  6.0814934, -0.1041489,VARIABLE,      0,true, 42, 36,HD114365.fits.csv,VAR,  0,   1.01,   0.03,   0.03,   3.07,   3.13,   3.47,   2.87
