SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
155,4994877094997259264, 12.8951883, 13.0022974, 12.6928167,  0.3094807,NOT_AVAILABLE,      0,True, 38, 37,V.3.4.SPSS155.csv,OK,  0,   1.03,   0.03,   0.03,   2.47,   2.49,   2.66,   2.38
156,2874319284171715968, 13.7584047, 13.5923786, 14.0815468, -0.4891682,NOT_AVAILABLE,      0,True, 64, 59,V.3.4.SPSS156.csv,OK,  1,   0.99,   0.02,   0.02,   1.47,   1.47,   1.79,   1.19
158,2323394345824851584, 13.6196680, 13.9815788, 13.0863638,  0.8952150,VARIABLE,      0,True, 35, 34,V.3.4.SPSS158.csv,OK,  0,   1.02,   0.02,   0.02,   1.84,   1.50,   1.69,   1.36
160,5027329077612492928, 16.5293140, 17.2493553, 15.7048502,  1.5445051,NOT_AVAILABLE,      0,True, 58, 57,V.3.4.SPSS160.csv,OK,  0,   0.98,   0.06,   0.05,   1.39,   1.34,   1.65,   1.08
164,458558784733311232, 13.6403837, 13.5427065, 13.8507042, -0.3079977,NOT_AVAILABLE,      0,True, 54, 51,V.3.4.SPSS164.csv,OK,  1,   1.00,   0.03,   0.03,   1.80,   1.83,   2.54,   1.06
165,446003598888454400, 13.4599714, 13.9834442, 12.7678747,  1.2155695,NOT_AVAILABLE,      0,True, 44, 43,V.3.4.SPSS165.csv,OK,  0,   1.02,   0.02,   0.02,   2.92,   1.86,   2.25,   1.54
167,3186021141200137472, 13.6006718, 13.8070297, 13.2377872,  0.5692425,NOT_AVAILABLE,      0,True, 48, 50,V.3.4.SPSS167.csv,OK,  1,   1.00,   0.02,   0.02,   1.96,   1.91,   2.51,   1.34
171,268550015665098880, 13.0254765, 13.3982401, 12.4750185,  0.9232216,NOT_AVAILABLE,      0,True, 36, 36,V.3.4.SPSS171.csv,OK,  1,   1.00,   0.01,   0.01,   1.34,   1.44,   1.96,   0.91
173,2921786919133198848, 13.6315365, 13.5025978, 13.9001369, -0.3975391,NOT_AVAILABLE,      0,True, 59, 59,V.3.4.SPSS173.csv,OK,  1,   0.99,   0.03,   0.03,   2.37,   2.45,   2.40,   2.49
174,987911506794398976, 12.8087215, 13.1346502, 12.3054171,  0.8292332,NOT_AVAILABLE,      0,True, 38, 37,V.3.4.SPSS174.csv,OK,  0,   0.99,   0.01,   0.01,   1.54,   1.45,   1.81,   1.14
175,5612710511362093184, 14.5165539, 14.3637590, 14.8277121, -0.4639530,NOT_AVAILABLE,      0,True, 55, 54,V.3.4.SPSS175.csv,OK,  0,   0.96,   0.03,   0.03,   2.20,   2.14,   2.26,   2.07
177,5538507082940921472, 13.8137598, 13.7266970, 13.9681463, -0.2414494,NOT_AVAILABLE,      0,True, 49, 49,V.3.4.SPSS177.csv,OK,  0,   1.04,   0.07,   0.10,   3.94,   5.75,   8.69,   1.77
181,5242316444456199808, 13.5378408, 13.5078869, 13.6380301, -0.1301432,NOT_AVAILABLE,      0,True, 36, 33,V.3.4.SPSS181.csv,OK,  1,   0.99,   0.04,   0.04,   1.93,   2.04,   2.76,   1.30
183,861050512312844672, 13.8192806, 13.7472715, 13.9807968, -0.2335253,NOT_AVAILABLE,      0,True, 60, 56,V.3.4.SPSS183.csv,OK,  1,   1.01,   0.04,   0.03,   1.71,   1.66,   2.17,   1.20
186,5860131207828395648, 13.9216003, 14.0699167, 13.6495829,  0.4203339,NOT_AVAILABLE,      0,True, 45, 44,V.3.4.SPSS186.csv,OK,  0,   1.01,   0.02,   0.03,   1.93,   2.03,   2.06,   2.03
